1490821753927,-40,-49,-83,-34,-27,-22,8,4,-1,14,-7,-1,-24,19,-4,-8
1490821753975,33,10,14,38,66,39,63,41,11,-14,-14,-3,8,-38,-83,-18
1490821753976,20,-2,-1,51,59,-31,-27,25,-25,-2,24,42,91,-9,-35,-50
1490821754024,-25,-14,-16,44,22,11,12,62,2,-8,-24,-46,-6,27,-43,-40
1490821754073,52,41,48,41,30,127,123,15,-2,-3,-15,4,103,87,-36,-37
1490821754122,12,-4,-12,-64,-47,-78,40,-11,20,20,32,-95,-128,-25,17,34
1490821754171,1,3,6,-65,-57,-36,53,12,-15,-8,-5,66,32,-33,12,-14
1490821754267,-39,-22,-33,-40,25,20,-84,-25,23,1,1,39,-11,-68,34,-9
1490821754269,13,11,-16,-33,-81,-34,4,16,-7,-4,-24,-60,33,73,43,5
1490821754270,-13,12,12,52,15,15,94,48,12,4,-14,-59,-32,-15,-37,5
1490821754317,7,9,33,61,-79,13,-72,0,2,7,2,-5,120,47,86,29
1490821754365,-5,-6,-19,-120,-97,-17,-128,-57,6,-15,-29,37,54,30,86,74
1490821754413,9,6,-7,-87,-75,62,8,17,-31,-3,-3,-61,-49,96,32,-51
1490821754415,-43,-45,-87,36,67,-88,-39,27,9,4,11,-23,-47,59,-23,7
1490821754463,7,0,-15,5,32,96,42,-9,18,-2,35,41,57,74,-69,-21
1490821754512,-7,-5,19,43,-6,80,-33,-6,4,5,-13,43,108,127,15,1
1490821754561,21,17,53,72,59,19,48,7,18,13,16,-23,-51,13,-1,-18
1490821754609,-3,-10,-68,-86,-75,-128,-58,12,4,-10,-29,-1,0,18,43,10
1490821754657,-21,-9,-3,-14,28,-48,-32,-18,7,8,3,16,-31,14,-11,-8
1490821754659,-31,-5,-53,-90,-59,-44,-55,4,0,-9,-29,13,-69,19,-59,-18
1490821754707,-12,9,30,26,34,-42,-39,-16,-1,25,24,18,9,70,50,12
1490821754755,6,9,2,-2,17,43,43,-4,-11,17,48,57,22,5,-29,-22
1490821754804,21,8,0,6,8,8,1,1,14,-13,-11,25,8,-7,35,17
1490821754852,-11,-8,-12,13,20,8,-35,-29,-8,-7,29,-3,2,-6,-1,20
1490821754854,-37,1,24,-5,-6,-10,-22,-13,16,-3,7,6,24,67,27,0
1490821754902,7,-8,-3,8,-12,15,-20,9,-22,3,0,2,10,-26,-2,-3
1490821754951,-4,5,-19,-7,26,-21,-44,0,-3,-4,-4,-63,-62,-8,0,-2
1490821754999,-13,9,34,61,115,117,53,-8,17,12,2,-17,-64,-128,-21,14
1490821755048,-12,-17,-40,-40,-21,41,-32,-2,7,-23,-12,2,7,31,17,5
1490821755096,14,27,10,14,5,52,26,13,-14,22,24,-20,-47,-25,-19,-5
1490821755097,18,16,-4,6,30,31,48,-1,-3,5,1,61,33,-60,8,25
1490821755145,12,-12,-63,-115,-128,-128,-114,-17,-19,-7,17,59,77,127,11,-37
1490821755194,-11,-12,3,-42,-57,92,27,-3,12,3,3,-53,-68,-28,71,36
1490821755243,-34,-21,1,36,19,-3,-20,-21,18,-3,-15,-94,-43,-78,69,23
1490821755292,39,20,30,-24,-95,-18,-29,7,34,-24,-7,47,64,22,-41,4
1490821755340,3,1,-13,42,30,53,-30,-9,-21,-1,6,-17,-7,36,26,11
1490821755341,1,10,0,-27,-31,-86,-59,-36,43,23,36,33,59,50,43,31
1490821755389,-16,-14,-2,-41,7,-13,41,-15,33,12,-14,2,-55,19,-12,11
1490821755438,-14,8,23,5,-79,45,127,-19,21,-3,6,45,78,-39,-88,-10
1490821755487,-3,-6,-34,12,-9,-9,-87,-3,-4,-13,12,-33,-51,-53,9,-17
1490821755535,-5,-14,-40,-27,-97,84,78,2,-24,-14,0,-3,-40,-50,-113,-15
1490821755536,30,-14,-30,-22,31,-81,0,31,-10,-19,14,14,-12,86,41,-10
1490821755584,-48,-12,-34,-24,48,8,57,15,47,26,6,-12,-36,44,1,-10
1490821755633,50,4,8,-18,-48,16,-81,-12,-61,-14,-26,-8,51,-71,127,-21
1490821755682,-56,-6,3,90,74,-1,-43,-64,51,3,-13,-91,-45,-77,4,15
1490821755730,23,13,42,-1,-89,-90,113,61,-35,-25,-65,-19,81,12,-102,-9
1490821755778,-20,2,6,-93,-70,-27,89,9,7,11,1,-63,-81,-62,-52,16
1490821755780,6,10,66,72,41,53,43,-30,-41,-18,-32,-77,-70,21,-117,-72
1490821755828,26,8,-10,-61,-90,101,-45,14,78,20,10,44,81,11,65,58
1490821755877,74,18,26,14,-8,-74,-15,31,-17,-1,48,124,42,52,41,-17
1490821755925,-19,-1,-20,125,127,65,20,-13,-2,-21,-33,-64,-4,-94,-59,11
1490821755974,-6,22,82,127,86,-15,-59,-41,5,22,43,-31,-65,102,12,-4
1490821756022,-15,-19,-1,11,-72,-65,-1,44,22,11,-20,-39,45,73,96,12
1490821756023,-99,-48,-62,51,-12,-37,-34,-94,23,-3,-28,8,-8,-18,7,51
1490821756072,-11,-5,-41,-128,-57,-25,-17,14,-36,-21,4,127,102,55,10,-5
1490821756121,-6,-18,-31,-28,35,50,-1,-51,38,17,56,1,-106,-33,-16,15
1490821756169,-21,-9,-13,-95,-114,1,-45,-24,-22,-3,14,-22,-85,59,91,-14
1490821756217,21,12,31,43,53,65,46,11,-1,3,24,-11,26,1,-7,-28
1490821756219,-9,5,18,41,6,35,11,-28,-11,-17,-100,-107,-58,-84,-59,-5
1490821756267,1,0,26,-51,-39,-43,-45,2,-16,-14,-45,32,85,-65,-58,-20
1490821756315,-8,4,-11,18,44,62,19,-7,11,15,22,-32,-29,-9,12,10
1490821756364,-9,0,-45,-36,-55,6,-16,-11,-17,1,8,-8,20,8,31,5
1490821756413,5,-15,-11,2,-17,37,15,8,-4,-12,20,36,12,38,-7,-12
1490821756461,-2,-2,-10,-56,-40,-52,-21,18,3,8,57,42,-15,-4,15,16
1490821756462,0,0,-6,29,1,-82,10,6,-13,1,-5,-21,-18,6,-7,-14
1490821756511,10,-13,-20,-15,-62,35,12,-2,-4,-10,0,12,-28,5,1,3
1490821756559,8,-3,19,19,124,24,27,-1,8,9,7,3,53,-14,-40,-5
1490821756608,14,-3,-7,12,32,53,24,8,-8,3,-7,15,12,11,52,5
1490821756657,-10,-12,-9,-8,7,19,-19,-9,16,30,15,-39,10,36,-24,9
1490821756705,-18,0,-5,36,-19,-50,3,-13,-7,4,17,14,24,26,-38,-11
1490821756706,21,-13,14,30,24,85,82,6,33,3,-29,11,82,24,0,18
1490821756754,23,16,0,-68,-115,-28,-5,26,-13,-13,-21,-16,23,-54,-43,-18
1490821756803,-9,6,-4,11,26,-56,-4,-13,-6,5,-13,38,36,-16,-14,13
1490821756852,-45,-9,51,112,82,39,-16,-6,44,16,-3,15,27,-90,-14,37
1490821756900,5,2,51,71,-67,70,21,-15,-12,-40,-73,-60,116,-81,2,-22
1490821756902,26,15,21,97,101,24,-18,13,-25,0,-9,-8,-82,15,-70,-35
1490821756950,11,14,3,-66,-83,-94,-101,-3,4,4,32,75,69,28,48,-5
