1490655088901,-4,38,-22,-52,-17,11,16,15,-98,40,93,-34,24,-64,-77,-24
1490655088938,-100,-13,-1,-3,6,-2,-15,-69,92,0,-12,12,2,29,23,13
1490655088976,-60,-50,7,8,-9,-37,-1,-7,-128,-8,-16,-4,-14,37,26,-44
1490655089014,-103,11,1,-8,-2,-15,-8,-29,102,-21,-6,8,-8,12,22,59
1490655089051,104,-36,14,0,-4,-15,-62,23,-74,42,9,2,17,17,21,-25
1490655089088,-36,0,10,15,13,26,12,21,19,-19,10,-4,5,-21,6,-12
1490655089163,-20,-83,3,1,14,6,6,-86,55,-101,-16,-1,-4,-15,-19,55
1490655089164,127,-92,-16,-7,-9,17,48,-5,-3,-19,10,9,13,15,13,41
1490655089201,127,56,1,1,-6,-23,-15,48,-128,56,-12,-16,3,-19,-16,-80
1490655089238,-41,2,2,13,8,3,-11,-9,-17,21,0,3,-1,-9,-6,-1
1490655089313,-43,87,17,8,4,19,45,-14,-9,-8,-2,-8,-13,-8,4,30
1490655089351,17,20,-1,5,1,-25,-64,3,-57,64,3,-4,4,24,26,-25
1490655089389,-71,46,14,2,7,20,44,-7,-37,36,-6,-14,-5,-36,-35,-56
1490655089426,96,122,5,4,4,-25,0,0,-111,-63,-7,-2,11,-14,45,6
1490655089464,-44,51,11,11,6,-29,4,-24,-11,-31,-6,1,2,76,-1,-13
1490655089501,39,54,5,3,7,50,2,-63,-109,-11,-10,-9,-14,29,-3,-31
1490655089538,-11,54,-10,7,-3,-26,26,-1,31,-92,-6,4,9,-61,29,39
1490655089576,-87,17,18,4,28,23,14,2,8,-10,7,5,21,13,19,37
1490655089614,5,39,-12,11,-94,-47,10,5,12,-7,2,-5,-121,-61,2,66
1490655089651,1,-46,-4,-10,7,-67,-43,-6,12,-13,13,-4,20,-32,-21,1
1490655089689,5,1,7,10,50,-17,-5,-4,9,-15,-9,-6,55,-12,-34,4
1490655089726,-17,-27,-2,-2,-6,1,16,7,29,29,6,6,3,23,14,2
1490655089763,-15,47,0,-6,-11,14,18,-4,7,12,15,5,-5,3,-5,49
1490655089801,-26,-26,0,7,5,0,-43,-2,41,24,-1,-2,1,21,24,45
1490655089838,-17,-60,-11,-8,-8,2,11,-24,7,12,6,8,3,-15,-2,-43
1490655089913,54,46,-4,-4,0,39,49,24,5,-7,1,2,2,-15,6,0
1490655089951,75,-84,-5,3,-6,11,19,22,16,38,-8,-10,-19,-14,-23,-5
1490655089989,-60,5,1,1,2,10,50,-17,-18,46,4,-3,6,-26,-65,-10
1490655090026,-8,2,2,12,9,7,20,41,-10,-36,-3,-3,3,4,1,10
1490655090063,27,-26,4,-6,5,-22,-43,4,-11,-15,-2,-7,12,-2,5,-4
1490655090101,0,66,-5,-3,-1,50,-45,8,-47,15,-4,0,-12,11,2,-5
1490655090138,-2,-41,-6,1,4,-5,20,8,-7,-7,-4,-1,-1,-16,5,-5
1490655090176,38,-12,-5,-8,-8,-17,-24,-31,-21,-41,5,8,3,5,2,36
1490655090214,-17,-15,-4,-1,0,0,13,-6,8,-11,5,6,7,5,-1,4
1490655090251,36,20,2,2,4,12,-13,6,-35,8,5,8,-1,3,13,-10
1490655090288,69,32,5,0,-4,-16,-52,33,-68,0,1,4,9,-2,2,-8
1490655090326,-70,50,3,-4,-9,-9,6,-11,20,80,6,0,6,-3,-3,11
1490655090364,20,-17,5,6,4,-12,-34,20,-8,-37,-10,-4,0,6,9,14
1490655090401,-32,-55,-10,-3,-1,8,5,-14,47,75,10,4,-4,-19,-23,6
1490655090476,23,26,3,-4,5,12,14,27,-50,-25,-3,0,5,-1,-6,-9
1490655090513,-18,-1,0,-1,7,11,12,-9,79,-41,-2,1,4,20,30,4
1490655090551,2,40,-2,3,1,-4,-8,-12,-10,39,5,7,-1,-5,-1,11
