1491428225850,0,-84,-112,30,-112,-23,-96,47,107
1491428225850,0,54,2,-74,29,35,-44,57,121
1491428225858,1,2,26,-61,35,39,20,44,39
1491428225858,1,5,32,-24,42,48,51,12,-45
1491428225859,2,46,53,-16,35,24,11,-77,-113
1491428225859,2,-13,-1,31,5,-3,30,-27,-126
1491428225899,3,49,3,13,-13,-18,-2,-16,-101
1491428225899,3,32,4,-1,-8,-18,-1,-21,-84
1491428225901,0,52,6,-1,17,16,15,-4,-87
1491428225901,0,-2,-10,19,-8,25,-12,-37,-67
1491428225902,1,-26,-3,9,7,50,0,-13,-54
1491428225902,1,10,-14,-3,-14,62,-16,-19,-32
1491428225903,2,-22,2,-6,16,72,30,51,-25
1491428225903,2,-22,6,16,-9,53,-10,-21,-30
1491428225947,3,-18,-2,13,-4,35,-19,-41,-18
1491428225947,3,-12,-12,4,-6,27,30,55,-29
1491428225950,0,-20,0,-37,-5,28,-11,-42,-107
1491428225950,0,-32,7,0,11,5,-16,59,-123
1491428225951,1,59,-2,5,-9,24,-4,-39,-128
1491428225951,1,-53,-7,-6,-3,40,-27,-14,-87
1491428225996,2,-18,17,19,15,52,23,-1,-79
1491428225996,2,-30,-7,-8,-12,54,21,15,-72
1491428225998,3,9,-11,-15,-11,46,-41,-19,-17
1491428225998,3,-43,-4,19,11,40,-2,30,-7
1491428226000,0,1,10,10,21,56,50,-9,17
1491428226000,0,33,10,-6,-19,34,-30,-9,42
1491428226002,2,-8,0,-3,7,36,-30,-27,7
1491428226002,2,1,1,8,-5,41,28,17,37
1491428226045,3,43,9,1,3,46,16,17,40
1491428226045,3,-88,-11,16,3,40,-34,-71,12
1491428226046,0,34,7,-9,10,49,64,64,36
1491428226046,0,-32,-2,-21,-3,38,-55,-82,17
1491428226047,3,-32,-1,-15,-18,27,-62,-56,9
1491428226047,3,18,-6,5,0,39,2,39,20
1491428226048,0,-35,2,-2,7,45,10,-21,4
1491428226048,0,32,-2,21,7,46,-8,5,17
1491428226094,1,-40,-8,-16,-8,40,6,-9,6
1491428226094,1,22,2,-3,-16,30,17,38,12
1491428226096,2,77,9,-2,-6,32,-24,-1,35
1491428226096,2,33,0,12,13,52,92,15,10
1491428226097,0,36,-1,-3,-9,28,-38,2,25
1491428226097,0,-1,8,12,7,36,-9,5,10
1491428226097,1,-12,-16,-5,2,40,37,11,0
1491428226097,1,26,20,3,8,42,-20,-32,6
1491428226142,2,18,-1,0,-3,24,18,62,12
1491428226142,2,-14,-7,6,5,39,19,-30,-12
1491428226144,3,-28,-10,-11,-5,24,-57,-3,3
1491428226144,3,-23,-9,-9,-20,24,-8,-36,-8
1491428226145,0,-10,6,-6,2,37,-12,11,12
1491428226145,0,-14,-1,-4,5,29,26,-2,-3
1491428226146,1,-13,-7,-5,-5,27,-13,13,5
1491428226146,1,25,0,9,5,30,3,17,7
1491428226191,2,-63,-6,-16,-12,30,-16,-78,-11
1491428226191,2,34,13,2,9,34,-21,-12,2
1491428226193,3,-45,1,11,8,42,60,75,13
1491428226193,3,-10,-5,2,6,28,3,-27,-2
1491428226194,1,-3,14,0,-6,39,40,20,27
1491428226194,1,-2,-7,0,6,35,-33,39,31
1491428226195,2,30,16,20,15,34,31,43,13
1491428226195,2,-31,9,-3,-3,32,-8,-75,-7
1491428226240,3,42,10,39,8,27,-73,-14,-7
1491428226240,3,-21,-20,-26,-21,15,29,66,-3
1491428226241,0,-3,9,0,0,26,22,-83,-6
1491428226241,0,-32,-35,-23,-14,21,-1,65,-44
1491428226242,2,14,85,13,12,22,-50,36,51
1491428226242,2,11,4,19,0,24,-72,-36,-18
1491428226243,3,-24,-19,-27,-4,29,21,76,7
1491428226243,3,0,-7,-12,-7,35,32,8,-13
1491428226289,0,-6,23,48,10,30,-25,-38,-8
1491428226289,0,20,10,6,10,32,34,12,35
1491428226290,1,-4,-33,-57,-10,25,44,-50,-32
1491428226290,1,25,25,-43,3,28,13,-32,27
1491428226291,3,7,50,89,-7,24,4,-6,-26
1491428226291,3,1,-3,-26,-8,17,-16,-81,-20
1491428226293,0,-3,-2,-56,-2,26,-39,-21,17
1491428226293,0,-8,-47,27,-2,37,82,24,-29
1491428226338,1,5,-49,-86,-12,20,46,72,18
1491428226338,1,38,28,2,-4,14,-92,-60,-11
1491428226341,2,31,38,58,6,17,-46,2,-46
1491428226341,2,46,-10,-2,2,26,35,24,89
1491428226344,0,30,-38,23,-6,33,23,92,-10
1491428226344,0,-31,24,-32,7,32,63,15,30
1491428226345,1,17,0,-23,-10,9,-83,-110,-44
1491428226345,1,-39,13,32,13,41,-4,30,-20
1491428226386,2,56,-68,-16,-9,16,42,-43,-27
1491428226386,2,-56,-7,-1,-14,9,-73,-1,-19
1491428226387,3,64,10,7,4,18,-9,49,61
1491428226387,3,-13,26,29,20,47,62,12,1
1491428226388,1,0,-23,-20,-14,12,-35,-64,-17
1491428226388,1,-87,13,26,5,9,-5,21,13
1491428226390,2,29,14,-4,3,17,-37,-31,16
1491428226390,2,-76,2,-9,5,23,-58,-108,-35
1491428226435,3,-49,-1,22,7,71,68,16,-8
1491428226435,3,79,23,10,8,27,75,65,66
1491428226437,0,-128,-50,-44,-20,9,23,44,-7
1491428226437,0,68,32,15,4,7,-14,-16,6
1491428226439,2,-7,24,-1,2,11,-69,-41,2
1491428226439,2,34,-20,8,0,31,-16,23,5
1491428226442,3,27,14,10,10,12,-41,3,21
1491428226442,3,64,9,-16,-3,22,5,27,-2
1491428226484,0,20,7,-6,-2,12,-11,20,6
1491428226484,0,-19,-6,5,0,17,-13,-23,-33
1491428226485,1,-9,-20,-2,-1,21,15,41,2
1491428226485,1,-13,5,0,-10,8,-14,1,-14
1491428226487,2,54,4,6,4,36,54,28,31
1491428226487,2,-48,-19,-10,-8,11,14,-21,-28
1491428226487,3,43,38,1,-2,18,41,46,30
1491428226487,3,24,2,10,-10,9,-34,-5,-11
1491428226533,0,-101,-3,5,0,25,-9,-2,-18
1491428226533,0,22,-4,-9,-5,20,-10,16,-8
1491428226535,1,-19,7,6,3,16,-39,10,1
1491428226535,1,-33,-3,-14,-5,16,-6,1,-8
1491428226536,3,-35,-18,-2,5,30,40,14,-2
1491428226536,3,19,16,10,4,18,-5,-15,-21
1491428226537,0,38,4,-3,0,17,30,12,-5
1491428226537,0,53,1,3,-2,6,-36,-9,3
1491428226581,1,9,14,6,-5,7,-18,-12,-7
1491428226581,1,12,-19,-12,-4,11,1,24,11
1491428226582,2,37,17,0,2,19,-3,-16,0
1491428226582,2,78,9,-2,7,24,25,-12,-7
1491428226583,0,0,-4,-1,2,15,-39,-5,-6
1491428226583,0,-32,-17,-18,-2,16,3,15,-13
1491428226587,1,6,20,6,3,12,-22,-40,-1
1491428226587,1,27,-5,-4,-4,11,-10,4,8
1491428226630,2,3,-6,-4,-5,16,9,-9,-11
1491428226630,2,-37,-7,1,-2,12,-7,-9,-5
1491428226631,3,3,8,9,4,15,42,23,-2
1491428226631,3,-53,0,-3,-4,13,-20,-24,-7
1491428226631,1,-6,-26,-12,-6,15,-4,-18,4
1491428226631,1,29,11,6,-8,14,12,5,10
1491428226632,2,-37,-3,-2,0,17,7,-20,-13
1491428226632,2,13,12,-2,2,13,19,30,4
1491428226727,3,7,-28,-16,-9,8,-15,-38,-26
1491428226727,3,-6,30,2,4,10,-23,9,-9
1491428226728,0,12,3,6,3,14,7,0,1
1491428226728,0,0,7,0,0,12,-9,-27,-11
1491428226729,2,15,6,-1,-3,11,-14,11,1
1491428226729,2,-2,2,-1,-4,12,12,2,-2
1491428226730,3,11,10,5,0,19,6,2,18
1491428226730,3,8,-18,-9,-3,11,21,0,-1
1491428226776,0,11,19,5,2,8,-59,17,9
1491428226776,0,-12,-1,-5,3,18,18,-31,-9
1491428226777,1,-8,-18,-23,-9,6,-26,18,-6
1491428226777,1,-18,14,27,4,27,14,-7,-12
1491428226778,3,-13,-20,5,2,10,-28,-48,-18
1491428226778,3,-31,-15,-4,0,13,-35,-35,-1
1491428226779,0,2,24,5,-8,12,-12,-29,-7
1491428226779,0,11,-11,0,-8,16,-50,-25,-5
