1490653837605,-66,44,-76,-112,-32,-27,-95,-33,104,83,102,9,43,-14,-27,29
1490653837645,1,-10,20,108,67,1,16,35,-16,-6,-12,11,87,20,-37,-20
1490653837685,5,-20,41,-55,-57,30,35,-21,23,-68,2,98,84,9,18,-16
1490653837725,-12,-22,2,29,-2,-32,-9,-1,-27,-11,14,2,52,22,29,-1
1490653837765,-4,-39,-4,-9,-56,-20,41,3,-47,3,0,88,91,103,-16,-1
1490653837805,75,-17,75,38,-22,-22,9,-14,-105,-28,-34,-116,-128,59,11,9
1490653837884,85,-14,28,-72,-108,-91,-58,-14,108,-28,-6,-59,-45,-16,32,6
1490653837887,29,-40,-8,-29,-9,27,-32,-20,30,16,12,-26,-25,-1,-10,-19
1490653837925,-95,-17,-18,-1,11,-37,-12,-6,-57,20,-8,-24,77,-12,5,14
1490653837965,6,68,0,30,-14,7,-26,-14,-49,61,-52,-27,-41,-30,-8,-1
1490653838005,-32,-7,12,-2,3,58,-11,-32,-66,-7,-36,109,61,90,13,10
1490653838045,-6,-61,-8,65,38,-72,17,-1,71,8,-114,55,9,-102,5,24
1490653838085,111,34,54,-96,-14,-90,-59,-22,28,-27,106,26,4,-128,-18,-3
1490653838125,-11,-45,-9,52,-10,-9,41,2,-2,-2,-76,-63,-67,16,20,-4
1490653838165,-4,21,52,-14,-10,43,-30,10,-15,-59,6,-29,-19,16,-10,-4
1490653838205,29,-16,15,43,4,-55,23,13,4,-60,-53,9,28,-44,32,-8
1490653838245,2,-51,-26,-20,4,-19,-21,4,10,28,97,8,-10,-9,19,39
1490653838285,7,44,-7,-6,-6,23,-7,-2,5,52,12,-13,-15,33,16,1
1490653838325,6,-7,-17,11,14,8,15,21,-76,73,-1,11,25,16,-5,-13
1490653838365,-9,-12,27,-6,-13,8,-8,-22,11,-84,22,2,19,2,-16,-24
1490653838405,49,16,-9,35,-14,-3,15,-9,57,24,-3,-27,-1,-4,1,-22
1490653838484,-18,-107,10,37,40,11,-44,-5,45,4,23,17,3,7,-13,-16
1490653838487,-53,13,-6,12,19,6,26,-2,17,-30,8,-10,-56,-36,10,7
