1490654452285,-84,36,-111,-112,-41,-16,-56,-3,-74,-60,-17,-26,-60,-67,-80,-79
1490654452332,-15,-97,-36,-9,1,-20,-13,-25,78,28,-2,5,7,3,-6,8
1490654452333,-11,59,20,4,1,-6,-7,4,10,-76,-9,-15,-11,-2,15,17
1490654452381,22,-100,5,7,10,12,8,7,-17,17,-2,-4,-7,-2,9,-3
1490654452430,-22,-83,-26,-10,-14,-8,3,16,18,-71,-3,11,8,11,2,0
1490654452479,-3,94,8,1,8,4,6,3,8,-87,-6,-8,-14,-10,-16,-1
1490654452528,-94,1,7,3,9,-9,-2,-12,46,19,-8,-3,0,4,6,15
1490654452576,-50,54,29,7,-7,9,6,12,13,-85,-31,-14,3,-5,-9,-21
1490654452577,46,68,28,8,0,15,24,29,-48,44,21,26,6,2,-15,2
1490654452625,68,11,-6,-8,3,8,27,41,-1,-26,-14,-1,-4,-10,-82,1
1490654452674,5,27,-12,-5,-3,1,-7,-41,17,72,-9,-10,-6,-13,2,25
1490654452723,-54,-14,-1,15,6,0,-11,-25,10,85,-4,1,-5,-2,-10,0
1490654452771,8,-110,-32,-20,-9,-4,-5,1,20,-44,-3,-7,-10,-7,-10,-17
1490654452772,-39,21,-1,-2,-10,-9,-8,-4,68,0,-18,-1,-4,-3,-5,20
1490654452820,-30,-96,4,0,-4,-13,-15,-20,25,22,-5,-4,0,4,13,-1
1490654452869,44,70,5,4,-4,-1,4,-2,-78,-101,-13,-1,-6,-12,-10,-22
1490654452918,11,-28,-19,-9,-5,5,13,21,52,-1,3,0,1,1,11,2
1490654452966,-20,-22,5,7,9,3,8,5,4,20,-7,-11,-15,-13,-14,-11
1490654453014,-52,-40,-11,-19,-5,1,-4,-13,5,-41,-4,6,-7,-11,-19,-6
1490654453016,-16,1,1,-2,-2,3,29,2,-45,81,-1,-5,0,2,-23,-11
1490654453064,-26,-25,-4,-3,-1,0,-11,7,61,11,3,9,5,3,-3,-4
