1490228525671,34,34,-44,-78,24,-57,37,-21,-22,-26,12,-8,10,19,-20,2
1490228525768,9,7,14,13,15,27,-5,6,-17,4,-4,5,18,-3,4,-4
1490228525769,-28,-15,-3,-4,-15,2,2,-13,-20,-19,-11,-9,-27,-11,-11,-8
1490228525771,-16,-4,9,19,15,17,6,-9,3,1,4,-12,-15,6,2,-9
1490228525817,17,-2,1,10,-6,-10,12,-3,3,-4,-9,-4,-14,-15,-33,-3
1490228525914,27,4,4,28,47,27,-17,3,-16,-6,2,13,9,5,3,-4
1490228525915,-21,7,9,-4,-20,-28,15,-13,6,-1,-5,10,20,9,-9,6
1490228525963,-29,-18,-7,-3,-14,6,-6,-17,-22,-1,-12,-4,-17,-6,-25,1
1490228525965,-20,-8,-7,25,-6,12,-45,-17,74,17,12,-11,3,22,69,11
1490228526012,38,29,19,29,8,-7,32,3,-50,-24,9,54,7,8,20,0
1490228526109,31,-2,-32,-13,-20,-26,1,-11,-86,0,10,-42,-16,-14,-24,-11
1490228526110,53,26,8,38,13,17,-22,-48,-72,-78,16,14,-2,-25,-2,-26
1490228526158,-57,-20,6,-23,-15,-15,8,-21,79,58,42,10,19,-2,-31,24
1490228526160,-99,-12,-55,48,-24,-30,-51,-51,75,18,51,-5,0,9,6,17
1490228526207,120,48,-2,-86,-13,-14,-15,14,-128,-54,109,58,5,25,-9,-45
1490228526256,-42,-60,-52,-69,-22,3,7,-2,-81,24,-57,-16,9,25,25,7
1490228526305,74,-14,-30,-78,-25,-20,-57,-4,-30,36,59,4,-21,-16,30,-11
1490228526401,-7,40,-49,78,12,-2,14,12,106,-48,38,-17,-7,-1,-9,-1
1490228526404,-93,-76,-57,24,9,12,-9,-22,90,78,-128,-99,-18,15,16,53
1490228526405,34,-28,-42,30,-1,-16,-2,73,-66,-32,50,-101,-2,0,-13,-95
1490228526451,8,118,127,90,50,34,21,-44,31,-55,-120,69,22,-3,-17,55
1490228526500,20,-9,-98,3,46,49,7,4,47,48,38,-21,26,14,-64,-34
1490228526548,-63,-52,81,127,59,35,29,-29,117,82,-91,-4,17,1,29,47
1490228526645,-93,43,78,51,-39,-12,-79,-31,-2,85,15,78,52,31,62,49
1490228526646,23,-25,-82,-60,-14,-1,27,71,-33,18,10,-8,-22,0,-8,-64
1490228526649,73,33,-95,2,56,13,123,59,-13,-43,-128,-128,-83,-38,-32,-49
1490228526694,63,126,69,35,36,37,20,64,-72,83,123,98,53,41,64,-5
1490228526743,-5,-111,111,-115,-102,-38,-1,18,-19,33,36,9,85,31,-4,13
1490228526792,-25,4,-111,-55,-58,21,15,9,49,1,93,70,-11,-23,-15,15
1490228526840,71,1,-93,-81,52,4,52,57,-27,-72,-83,-86,-61,2,11,46
1490228526842,81,32,8,98,13,9,-35,12,-126,-97,-74,-30,-45,9,-7,-39
1490228526890,-27,30,44,-23,48,-3,8,-2,-26,-18,-50,-6,-52,-34,-56,-8
1490228526938,50,50,127,65,-33,-44,-38,6,-48,13,18,14,-18,-24,27,7
1490228526987,-115,-65,-3,-11,-14,2,-6,-21,36,59,64,-17,-1,29,8,8
1490228527036,3,-23,-23,-26,-39,11,-19,-11,-4,63,121,43,27,21,15,17
1490228527084,20,2,14,16,-29,-39,-9,13,-11,-5,39,-3,-23,9,-12,-2
1490228527085,-31,-13,-13,28,-22,-34,8,-1,26,34,-6,-46,-46,-19,-21,2
1490228527133,-8,16,-19,-1,-16,-34,-14,-8,7,14,55,89,-59,-43,31,10
1490228527182,-15,-21,-3,18,81,32,-20,-6,9,2,-13,-51,-44,20,32,0
1490228527231,-15,-25,-25,42,-57,-1,-16,-8,12,-3,-27,-37,35,4,29,7
1490228527279,23,20,8,-14,70,3,-4,0,45,35,40,74,12,2,-26,22
1490228527280,-17,-7,-18,-47,-11,2,114,-3,-15,5,-18,-29,-40,-3,116,-7
1490228527328,1,-21,-35,-65,20,-1,-37,22,-18,-3,5,15,-37,-1,-28,-34
1490228527377,-10,-11,-16,19,50,0,-11,-8,10,0,14,-3,-78,-1,-36,-13
1490228527426,-3,-8,-2,-9,-32,-1,-54,-19,-37,-28,-32,-44,-23,0,-46,-26
1490228527475,-51,-5,6,-56,-112,0,-16,-10,10,-24,-37,-36,127,0,-23,-3
1490228527522,14,16,13,45,21,0,-38,5,0,9,25,42,-57,0,-124,-1
1490228527524,9,-4,-13,2,13,0,114,-7,17,14,14,-18,-12,0,114,18
1490228527572,-46,-5,6,14,21,0,-42,-3,0,-38,-6,19,11,0,-40,1
1490228527669,52,-4,-31,-11,30,111,-68,-5,-36,19,37,18,-10,120,-45,-15
1490228527670,27,37,-2,-36,-5,-128,-32,-10,8,45,37,49,0,-110,-23,-10
1490228527718,73,27,63,38,49,-70,-22,2,22,14,-33,3,15,-51,48,64
1490228527766,64,50,4,-5,12,-18,-5,-41,-73,-54,30,-52,-22,2,7,-18
1490228527768,-80,-3,1,-2,-45,-3,21,2,-36,-90,-16,-28,-8,-2,7,-12
1490228527819,-15,-32,-54,-32,-5,-5,-54,27,1,27,64,-67,-63,-1,20,-3
1490228527912,61,-10,39,-32,-41,-2,19,24,-33,64,-29,53,67,0,-13,6
1490228527914,6,-45,15,-29,-8,-3,9,50,-52,107,7,6,15,0,60,-8
1490228528010,-55,-3,-21,20,15,-39,-51,-37,18,-36,-81,-94,-4,-40,19,17
1490228528012,29,25,-5,29,-14,65,53,10,-112,-118,-12,5,-12,-12,-14,-21
1490228528013,5,-6,-87,-84,-24,-1,-23,-10,75,30,45,12,10,-22,-48,-43
1490228528059,-81,-19,28,57,10,-27,25,33,19,-21,15,-3,20,37,25,-4
1490228528108,-56,-9,15,-25,-3,28,-22,20,-37,-10,31,24,-16,1,-7,-4
1490228528157,-52,-57,-30,-49,-33,-8,-38,-12,3,-10,5,11,-5,2,6,2
1490228528205,-1,-11,-13,-27,1,23,2,3,-4,37,25,35,9,24,-43,-4
1490228528206,-37,27,31,31,18,10,-3,-27,65,-4,-20,-11,-29,6,-2,17
1490228528254,52,-1,-9,-16,-4,-2,-13,25,-41,12,9,11,9,43,10,-11
1490228528303,11,18,9,1,1,-10,31,8,-1,-25,-5,-16,-10,-4,-15,-26
1490228528352,-38,-3,6,18,17,16,25,3,53,15,0,0,-10,-11,25,-1
1490228528401,-1,15,8,-20,-7,-6,31,-32,-28,-18,-19,-7,0,4,-51,18
1490228528449,-101,-45,-17,0,6,14,-7,23,67,47,22,4,-8,-23,-39,-19
1490228528451,-12,-17,13,-27,2,-2,5,-3,113,50,-22,-10,-17,-12,3,15
1490228528498,115,-50,-35,11,-7,18,16,-1,3,9,-84,-67,-19,-18,30,59
